City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Constitucion,CL,2022-11-23 22:44:08,-35.3333,-72.4167,63.82,75,24,19.53
67,Airai,TL,2022-11-23 22:44:08,-8.9266,125.4092,66.6,78,100,1.05
68,Cabo San Lucas,MX,2022-11-23 22:42:20,22.8909,-109.9124,81.52,51,20,9.22
69,Ribeira Grande,PT,2022-11-23 22:44:09,38.5167,-28.7,62.78,73,39,11.01
70,Vila Franca Do Campo,PT,2022-11-23 22:44:09,37.7167,-25.4333,63.01,81,100,12.28
71,Batagay,RU,2022-11-23 22:44:10,67.6333,134.6333,-42.79,99,68,1.81
72,Marica,BR,2022-11-23 22:44:10,-22.9194,-42.8186,80.55,89,100,8.46
73,Aklavik,CA,2022-11-23 22:44:11,68.2191,-135.0107,7.32,96,100,6.73
74,Pontalina,BR,2022-11-23 22:44:11,-17.525,-49.4472,71.92,75,87,1.48
75,Yellowknife,CA,2022-11-23 22:44:12,62.456,-114.3525,21.72,86,75,6.91
76,Puro,PH,2022-11-23 22:44:12,12.4841,123.3827,81.0,85,26,11.52
77,Paamiut,GL,2022-11-23 22:44:13,61.994,-49.6678,28.2,64,100,11.63
78,Sitio Novo Do Tocantins,BR,2022-11-23 22:44:13,-5.5183,-47.4611,85.93,62,0,4.61
79,San Ramon De La Nueva Oran,AR,2022-11-23 22:40:38,-23.1322,-64.326,79.97,29,99,2.01
80,Opuwo,NA,2022-11-23 22:44:14,-18.0607,13.84,75.33,31,100,4.52
81,Gorontalo,ID,2022-11-23 22:44:14,0.5412,123.0595,78.22,88,92,2.59
82,Rabo De Peixe,PT,2022-11-23 22:44:15,37.8,-25.5833,62.11,97,40,12.66
83,Warri,NG,2022-11-23 22:44:15,5.5167,5.75,77.58,86,22,3.53
84,Puerto Ayora,EC,2022-11-23 22:44:15,-0.7393,-90.3518,76.96,94,76,5.01
85,Salym,RU,2022-11-23 22:44:16,60.0625,71.4789,-2.94,87,99,8.32
86,Hermanus,ZA,2022-11-23 22:44:16,-34.4187,19.2345,66.79,79,100,16.26
87,Yermish,RU,2022-11-23 22:44:17,54.7678,42.2711,29.7,95,100,8.12
88,Qaanaaq,GL,2022-11-23 22:44:17,77.484,-69.3632,11.19,91,87,1.5
89,Santa Vitoria Do Palmar,BR,2022-11-23 22:45:18,-33.5189,-53.3681,61.97,69,0,6.85
90,Thompson,CA,2022-11-23 22:42:19,55.7435,-97.8558,26.76,93,75,4.61
91,Valparaiso,CL,2022-11-23 22:45:18,-33.0393,-71.6273,63.48,95,75,10.36
92,Bredasdorp,ZA,2022-11-23 22:45:19,-34.5322,20.0403,63.3,62,100,14.2
93,Lubango,AO,2022-11-23 22:45:19,-14.9172,13.4925,62.38,79,100,4.16
94,Kaitangata,NZ,2022-11-23 22:45:20,-46.2817,169.8464,45.77,92,96,14.65
95,Kodiak,US,2022-11-23 22:45:20,57.79,-152.4072,27.91,80,100,24.16
96,Albany,US,2022-11-23 22:45:06,42.6001,-73.9662,43.21,61,62,5.06
97,Georgetown,MY,2022-11-23 22:45:13,5.4112,100.3354,80.53,93,40,0.0
98,Pevek,RU,2022-11-23 22:45:21,69.7008,170.3133,-27.51,97,82,1.39
99,Coihaique,CL,2022-11-23 22:44:44,-45.5752,-72.0662,53.55,54,75,10.36
100,Ushuaia,AR,2022-11-23 22:45:21,-54.8,-68.3,44.26,65,75,28.77
