City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kem,RU,64.9555,34.5793,18.97,86,100,7.05,overcast clouds
79,Bolton,GB,53.5833,-2.4333,53.38,86,100,8.01,light rain
80,Khatanga,RU,71.9667,102.5,-7.47,95,100,17.11,overcast clouds
81,Mareeba,AU,-17.0,145.4333,73.44,96,100,0.92,overcast clouds
82,Aklavik,CA,68.2191,-135.0107,8.6,85,100,8.05,light snow
83,Ust-Nera,RU,64.5667,143.2,-35.7,96,86,1.83,overcast clouds
84,Lerwick,GB,60.1545,-1.1494,51.8,90,93,30.15,overcast clouds
85,Ratnagiri,IN,16.9833,73.3,78.3,81,6,2.86,clear sky
86,Nanortalik,GL,60.1432,-45.2371,32.29,89,81,8.37,broken clouds
87,Elizabeth City,US,36.2946,-76.2511,60.03,53,0,10.36,clear sky
88,Anadyr,RU,64.75,177.4833,-12.68,100,81,5.17,broken clouds
89,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,74,100,6.13,overcast clouds
90,Bengkulu,ID,-3.8004,102.2655,74.64,90,99,3.62,overcast clouds
91,Portland,US,45.5234,-122.6762,48.18,91,75,5.01,broken clouds
92,Sambava,MG,-14.2667,50.1667,72.45,86,29,10.83,light rain
93,Sitka,US,57.0531,-135.33,35.49,87,75,3.44,light rain
94,Jieshi,CN,22.8134,115.8257,70.56,88,100,17.49,overcast clouds
95,Cherskiy,RU,68.75,161.3,-27.85,100,91,5.93,overcast clouds
96,Ozu,JP,33.5,132.55,50.83,81,0,6.4,clear sky
97,Ravar,IR,31.2656,56.8055,58.03,26,0,1.5,clear sky
98,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,39,0,13.8,clear sky
99,Lavrentiya,RU,65.5833,-171.0,7.09,80,36,8.72,scattered clouds
100,Broome,US,42.2506,-75.833,54.18,49,0,10.36,clear sky
101,Lake Havasu City,US,34.4839,-114.3224,66.22,21,0,3.44,clear sky
102,Camacha,PT,33.0833,-16.3333,65.62,73,40,2.3,scattered clouds
103,Kamenka,RU,51.3223,42.7678,33.64,85,100,13.58,overcast clouds
104,Dingle,PH,10.9995,122.6711,73.98,92,18,6.87,few clouds
105,Kaitangata,NZ,-46.2817,169.8464,50.23,58,7,4.74,clear sky
106,Flin Flon,CA,54.7682,-101.865,26.44,74,100,9.22,light snow
107,Mahebourg,MU,-20.4081,57.7,76.24,73,40,11.5,scattered clouds
108,Ban Nahin,LA,18.2418,104.2122,72.36,97,100,2.01,moderate rain
109,Kenai,US,60.5544,-151.2583,-0.31,92,0,3.44,clear sky
110,Port Lincoln,AU,-34.7333,135.8667,56.59,83,79,9.69,broken clouds
111,Praya,CV,14.9215,-23.5087,79.34,57,0,17.27,clear sky
112,Mogadishu,SO,2.0371,45.3438,79.93,78,77,13.53,broken clouds
113,Goderich,CA,43.7501,-81.7165,52.92,53,0,14.97,clear sky
114,Cidreira,BR,-30.1811,-50.2056,73.17,83,1,14.54,clear sky
115,Harper,LR,4.375,-7.7169,78.42,84,6,6.22,light rain
116,San Blas,MX,21.5167,-105.2667,81.0,53,0,7.47,clear sky
117,Pemangkat,ID,1.1667,108.9667,78.66,84,95,3.47,overcast clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,82.62,53,0,1.99,clear sky
119,Bud,US,39.447,-86.1758,56.35,49,83,8.81,broken clouds
120,Rawson,AR,-43.3002,-65.1023,64.94,49,5,14.88,clear sky
121,Port Elizabeth,ZA,-33.918,25.5701,65.32,84,40,3.44,scattered clouds
122,Nome,US,64.5011,-165.4064,19.47,69,0,17.27,clear sky
123,Teknaf,BD,20.8624,92.3058,73.54,72,34,5.99,scattered clouds
124,Araouane,ML,18.9048,-3.5265,75.27,15,100,8.34,overcast clouds
125,Mehamn,NO,71.0357,27.8492,30.15,80,93,14.97,overcast clouds
126,Aquin,HT,18.2833,-73.4,82.6,71,35,3.36,scattered clouds
127,Isangel,VU,-19.55,169.2667,77.34,84,55,6.4,broken clouds
128,Sagae,JP,38.3725,140.2725,43.57,76,28,3.89,scattered clouds
129,Fortuna,US,40.5982,-124.1573,55.9,84,100,9.22,overcast clouds
130,Severo-Kurilsk,RU,50.6789,156.125,35.02,98,100,24.18,snow
131,Amahai,ID,-3.3333,128.9167,77.97,84,53,5.12,broken clouds
132,New Norfolk,AU,-42.7826,147.0587,58.91,58,66,5.01,broken clouds
133,Veraval,IN,20.9,70.3667,74.57,43,0,7.09,clear sky
134,Geraldton,AU,-28.7667,114.6,59.41,82,4,8.05,clear sky
135,Hovd,MN,48.0056,91.6419,2.35,43,100,10.98,overcast clouds
136,Korla,CN,41.7597,86.1469,36.82,31,14,7.05,few clouds
137,Nikolskoye,RU,59.7035,30.7861,13.91,86,100,6.69,overcast clouds
138,Mar Del Plata,AR,-38.0023,-57.5575,72.82,93,75,12.66,mist
139,Muroto,JP,33.2833,134.15,60.8,66,2,6.49,clear sky
140,Santiago Del Estero,AR,-27.7951,-64.2615,101.12,13,2,9.15,clear sky
141,Umm Lajj,SA,25.0213,37.2685,74.26,57,0,12.1,clear sky
